cell,N,K,method,seed,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,dep_violations,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
N60-K3,60,3,B4-flat,4,0.5630252100840336,3.8551701724033944,33736.70938505671,47,203,0,119,67,38,0.17233333333333334,24
N40-K2,40,2,Ours(T-patrol),0,0.5567010309278351,1.9345622654842998,13215.718940471548,1075,217,0,97,54,41,0.3955,36
N40-K2,40,2,Ours(T-patrol),1,0.5803571428571429,2.190466517448911,16208.850852916192,239,258,0,112,65,32,0.3105,32
N40-K2,40,2,Ours(T-patrol),2,0.7692307692307693,2.0436840332819366,13865.590221993592,532,233,0,78,60,16,0.239,14
N40-K2,40,2,Ours(T-patrol),3,0.7623762376237624,2.091734156890229,15259.916364555047,784,316,0,101,77,16,0.2455,13
N40-K2,40,2,Ours(T-patrol),4,0.6739130434782609,2.0041764927909247,14518.331479021517,1266,270,0,92,62,26,0.244,18
N40-K2,40,2,B3-hover,0,0.45652173913043476,1.064590456666218,9551.712368213948,840,173,0,92,42,42,0.4,37
N40-K2,40,2,B3-hover,1,0.6,1.352253858222465,10161.351837078766,31,247,0,105,63,33,0.325,33
N40-K2,40,2,B3-hover,2,0.759493670886076,1.0617471606306834,9848.37661314737,36,232,0,79,60,16,0.2,16
N40-K2,40,2,B3-hover,3,0.7553191489361702,1.625528026198411,11635.532456887531,656,285,0,94,71,17,0.15,13
N40-K2,40,2,B3-hover,4,0.6086956521739131,1.4037713924716344,10521.26646624863,800,231,0,92,56,32,0.225,25
N40-K2,40,2,B2-chase,0,0.6190476190476191,1.8001345408746865,12282.42480292346,1130,271,0,105,65,30,0.385,25
N40-K2,40,2,B2-chase,1,0.7727272727272727,3.004539501864224,16073.8042235015,701,334,0,110,85,16,0.2895,11
N40-K2,40,2,B2-chase,2,0.7341772151898734,1.0209340075256415,10353.662780582816,32,224,0,79,58,18,0.235,18
N40-K2,40,2,B2-chase,3,0.7422680412371134,2.238188873733866,14581.658765377913,746,291,0,97,72,14,0.1755,7
