apps_arrived,apps_done,apps_failed,energy_j,episode,eval_seed,fail_uncovered,frac_unassociated,kind,leo_invalid_attempts,leo_placements,mean_delay_s,reward,success_rate
,,,,337,,,,train,,,,-424.89839487576586,
,,,,338,,,,train,,,,-374.87268930562897,
,,,,339,,,,train,,,,-457.6311738684553,
,,,,340,,,,train,,,,-372.48945741271865,
,,,,341,,,,train,,,,-546.8077460273926,
,,,,342,,,,train,,,,-449.9658501138479,
,,,,343,,,,train,,,,-388.73092322642583,
,,,,344,,,,train,,,,-349.8107283673306,
,,,,345,,,,train,,,,-402.27097788366456,
,,,,346,,,,train,,,,-442.90920921674194,
,,,,347,,,,train,,,,-383.692163341973,
,,,,348,,,,train,,,,-532.779183743942,
,,,,349,,,,train,,,,-434.6848032091879,
104,60,39,20027.2376639078,349,0,28,0.3095,eval,395,254,2.6923463260437064,-525.732376639078,0.5769230769230769
100,58,28,20638.738037334446,349,1,26,0.3075,eval,142,240,3.256395877919695,-442.8873803733446,0.58
80,53,19,22944.115719264933,349,2,10,0.2125,eval,142,197,3.286623027343059,-391.0411571926493,0.6625
95,42,37,22276.208344443457,349,3,15,0.206,eval,443,179,2.9520407270025637,-532.3020834444345,0.4421052631578947
88,50,32,19999.326517836005,349,4,21,0.238,eval,155,197,3.1909369218343135,-468.11326517836005,0.5681818181818182
,,,,350,,,,train,,,,-262.75865355891244,
,,,,351,,,,train,,,,-372.1171037120187,
,,,,352,,,,train,,,,-481.0806631782231,
,,,,353,,,,train,,,,-569.9502707983997,
,,,,354,,,,train,,,,-323.48376227224014,
,,,,355,,,,train,,,,-444.89370381806634,
,,,,356,,,,train,,,,-358.63816874342285,
,,,,357,,,,train,,,,-408.5654109350299,
,,,,358,,,,train,,,,-471.94023688895055,
,,,,359,,,,train,,,,-351.2779370456247,
,,,,360,,,,train,,,,-411.2723815587512,
,,,,361,,,,train,,,,-292.98450473021,
,,,,362,,,,train,,,,-361.33095091697044,
,,,,363,,,,train,,,,-470.65322574985476,
,,,,364,,,,train,,,,-508.67547440078573,
,,,,365,,,,train,,,,-418.48370068382707,
,,,,366,,,,train,,,,-337.433356106854,
,,,,367,,,,train,,,,-405.1897165015704,
,,,,368,,,,train,,,,-449.93836794831077,
,,,,369,,,,train,,,,-511.6042611476448,
,,,,370,,,,train,,,,-362.76260678998545,
,,,,371,,,,train,,,,-405.2512752419159,
,,,,372,,,,train,,,,-525.4421778145341,
,,,,373,,,,train,,,,-387.95355463703055,
,,,,374,,,,train,,,,-397.7446143967869,
,,,,375,,,,train,,,,-442.47364883918846,
,,,,376,,,,train,,,,-473.7474118439076,
,,,,377,,,,train,,,,-450.5737135700118,
,,,,378,,,,train,,,,-516.5216960011937,
,,,,379,,,,train,,,,-413.25482960041944,
,,,,380,,,,train,,,,-354.30523935739365,
