difficulty,ablation,method,episodes,reward_mean,reward_std,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean,target_local,target_uav,target_leo,target_local_rate,target_uav_rate,target_leo_rate,line,scale,seed,area_km,road_km,uav_speed,runtime_s
v2x_hotspot_hard,none,pmeo_e,15,-149.96957584659657,105.31023197754361,0.08624286939904909,0.3980781373863284,84.08333333333333,84.48141147071966,0.9507999999999998,0.04920000000000001,0.14933333333333332,6029,550,921,0.8038666666666666,0.07333333333333333,0.1228,real,1.0,888,1.0,0.7,25.0,3.3
v2x_hotspot_hard,none,random,15,-366.46845178700454,241.91366201428403,0.17282989011373084,1.482209484525778,145.71952448353278,147.2017339680585,0.8673333333333333,0.13266666666666665,0.5004725903427157,2502,2535,2463,0.3336,0.338,0.3284,real,1.0,888,1.0,0.7,25.0,1.2
v2x_hotspot_hard,none,postmove_exact,15,-91.05994846159781,40.716284147539724,0.07076428983849377,0.3990174999344761,148.37901792357496,148.7780354235094,0.9796,0.020400000000000005,0.12076666666666666,6249,341,910,0.8332,0.04546666666666667,0.12133333333333333,real,1.5,73,1.5,1.05,25.0,2.0
v2x_hotspot_hard,none,current_exact,15,-96.01491744399648,43.13113007825548,0.07107562372093645,0.3920379117077947,148.37901792357496,148.7710558352828,0.9772000000000001,0.022800000000000004,0.12090000000000001,6253,359,888,0.8337333333333333,0.04786666666666667,0.1184,real,1.5,73,1.5,1.05,25.0,2.0
v2x_hotspot_hard,none,predict_tea,15,-96.01444687441803,43.13018961614479,0.07107459524976822,0.3924745717643984,148.37901792357496,148.7714924953394,0.9772000000000001,0.022800000000000004,0.12086666666666666,6253,359,888,0.8337333333333333,0.04786666666666667,0.1184,real,1.5,73,1.5,1.05,25.0,2.1
v2x_hotspot_hard,none,follow_tea,15,-103.89360523957916,47.04053263387114,0.0692986397304571,0.36734943394524533,148.07550430956096,148.44285374350628,0.9727999999999999,0.027200000000000002,0.1261,6222,382,896,0.8296,0.05093333333333333,0.11946666666666667,real,1.5,73,1.5,1.05,25.0,2.1
v2x_hotspot_hard,none,pmeo_e,15,-163.37279781461274,92.4521558358676,0.08054798445582563,0.32138920033235546,84.0,84.32138920033233,0.9426666666666665,0.05733333333333335,0.12733333333333333,6221,649,630,0.8294666666666667,0.08653333333333334,0.084,real,1.5,73,1.5,1.05,25.0,3.1
v2x_hotspot_hard,none,random,15,-313.3683872157098,156.67002841523464,0.1386814331903694,1.1372906215101792,145.80608225040754,146.94337287191772,0.8853333333333333,0.11466666666666668,0.49778985113208046,2533,2506,2461,0.33773333333333333,0.33413333333333334,0.32813333333333333,real,1.5,73,1.5,1.05,25.0,1.2
v2x_hotspot_hard,none,postmove_exact,15,-130.00759341747067,55.70850219811544,0.09995826551487005,0.5244730685513973,149.09346686513842,149.61793993368985,0.9674666666666666,0.032533333333333345,0.17386666666666664,5814,389,1297,0.7752,0.051866666666666665,0.17293333333333333,real,1.5,1,1.5,1.05,25.0,2.2
v2x_hotspot_hard,none,current_exact,15,-138.9538304763788,56.26152419519014,0.10025184697091062,0.5189363774295356,149.09346686513842,149.61240324256798,0.9630666666666666,0.03693333333333334,0.17373333333333332,5826,404,1270,0.7768,0.05386666666666667,0.16933333333333334,real,1.5,1,1.5,1.05,25.0,2.0
v2x_hotspot_hard,none,predict_tea,15,-138.9538304763788,56.26152419519014,0.10025184697091062,0.5189363774295356,149.09346686513842,149.61240324256798,0.9630666666666666,0.03693333333333334,0.17373333333333332,5826,404,1270,0.7768,0.05386666666666667,0.16933333333333334,real,1.5,1,1.5,1.05,25.0,2.3
v2x_hotspot_hard,none,follow_tea,15,-149.9896513151321,51.788209033265375,0.09986731574787955,0.49717961162082075,149.39608813363597,149.89326774525676,0.9574666666666665,0.04253333333333334,0.17609999999999998,5796,490,1214,0.7728,0.06533333333333333,0.16186666666666666,real,1.5,1,1.5,1.05,25.0,2.1
v2x_hotspot_hard,none,pmeo_e,15,-292.4586766482364,177.16469883676638,0.12148881820271154,0.36400041988977017,84.77867504891597,85.14267546880572,0.8884000000000001,0.11159999999999999,0.18173333333333333,5788,1074,638,0.7717333333333334,0.1432,0.08506666666666667,real,1.5,1,1.5,1.05,25.0,3.6
v2x_hotspot_hard,none,random,15,-470.4935221715477,215.7103071934677,0.21013909501515277,1.7498985040649555,145.82318146898194,147.5730799730469,0.8246666666666667,0.1753333333333333,0.49533999825505437,2471,2478,2551,0.3294666666666667,0.3304,0.34013333333333334,real,1.5,1,1.5,1.05,25.0,1.2
v2x_hotspot_hard,none,postmove_exact,15,-113.65349290252557,34.265775660280426,0.09493393329234051,0.5289806712205605,149.33628189233266,149.86526256355322,0.9743999999999999,0.025600000000000005,0.1642,5863,365,1272,0.7817333333333333,0.048666666666666664,0.1696,real,1.5,7,1.5,1.05,25.0,2.1
v2x_hotspot_hard,none,current_exact,15,-121.81458726369947,33.216999952974994,0.09525716251144406,0.5237781874417863,149.33628189233266,149.86006007977448,0.9704,0.029600000000000008,0.16389999999999996,5871,378,1251,0.7828,0.0504,0.1668,real,1.5,7,1.5,1.05,25.0,2.0
